Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Khairiyat,"Pritam, Arijit Singh",7/24/20,"115,369",3,in,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20,0.534,0.481,-9.016,0.0412,0.697,0,0.142,0.293,124.914,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Dil Bechara,A.R. Rahman,7/24/20,"113,731",4,in,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO,0.883,0.334,-10.651,0.0426,0.159,0.000158,0.12,0.747,106.02,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
cardigan,Taylor Swift,7/24/20,"112,840",5,in,https://open.spotify.com/track/4LEK9rD7TWIG4FCL1s27XC,0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033,"['pop', 'post-teen pop']"
Main Tumhara,"A.R. Rahman, Jonita Gandhi, Hriday Gattani",7/25/20,"334,609",1,in,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5,0.236,0.14,-13.478,0.0343,0.916,0.000148,0.087,0.123,76.805,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Dil Bechara,A.R. Rahman,7/25/20,"182,653",2,in,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO,0.883,0.334,-10.651,0.0426,0.159,0.000158,0.12,0.747,106.02,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Taare Ginn,"A.R. Rahman, Mohit Chauhan, Shreya Ghoshal",7/25/20,"174,167",3,in,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY,0.365,0.402,-11.946,0.0493,0.774,0.000732,0.0869,0.358,131.815,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Khulke Jeene Ka,"A.R. Rahman, Arijit Singh, Shashaa Tirupati",7/25/20,"148,485",4,in,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf,0.676,0.544,-10.893,0.0568,0.566,0,0.341,0.533,88.969,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Shayad,"Pritam, Arijit Singh",7/25/20,"133,795",5,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Main Tumhara,"A.R. Rahman, Jonita Gandhi, Hriday Gattani",7/26/20,"330,405",1,in,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5,0.236,0.14,-13.478,0.0343,0.916,0.000148,0.087,0.123,76.805,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Dil Bechara,A.R. Rahman,7/26/20,"170,239",2,in,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO,0.883,0.334,-10.651,0.0426,0.159,0.000158,0.12,0.747,106.02,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Taare Ginn,"A.R. Rahman, Mohit Chauhan, Shreya Ghoshal",7/26/20,"170,034",3,in,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY,0.365,0.402,-11.946,0.0493,0.774,0.000732,0.0869,0.358,131.815,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Khulke Jeene Ka,"A.R. Rahman, Arijit Singh, Shashaa Tirupati",7/26/20,"150,213",4,in,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf,0.676,0.544,-10.893,0.0568,0.566,0,0.341,0.533,88.969,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Shayad,"Pritam, Arijit Singh",7/26/20,"128,520",5,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Main Tumhara,"A.R. Rahman, Jonita Gandhi, Hriday Gattani",7/27/20,"294,343",1,in,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5,0.236,0.14,-13.478,0.0343,0.916,0.000148,0.087,0.123,76.805,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Taare Ginn,"A.R. Rahman, Mohit Chauhan, Shreya Ghoshal",7/27/20,"161,032",2,in,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY,0.365,0.402,-11.946,0.0493,0.774,0.000732,0.0869,0.358,131.815,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Dil Bechara,A.R. Rahman,7/27/20,"158,711",3,in,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO,0.883,0.334,-10.651,0.0426,0.159,0.000158,0.12,0.747,106.02,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Khulke Jeene Ka,"A.R. Rahman, Arijit Singh, Shashaa Tirupati",7/27/20,"147,894",4,in,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf,0.676,0.544,-10.893,0.0568,0.566,0,0.341,0.533,88.969,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Shayad,"Pritam, Arijit Singh",7/27/20,"126,201",5,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Main Tumhara,"A.R. Rahman, Jonita Gandhi, Hriday Gattani",7/28/20,"249,718",1,in,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5,0.236,0.14,-13.478,0.0343,0.916,0.000148,0.087,0.123,76.805,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Taare Ginn,"A.R. Rahman, Mohit Chauhan, Shreya Ghoshal",7/28/20,"144,295",2,in,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY,0.365,0.402,-11.946,0.0493,0.774,0.000732,0.0869,0.358,131.815,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Dil Bechara,A.R. Rahman,7/28/20,"144,001",3,in,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO,0.883,0.334,-10.651,0.0426,0.159,0.000158,0.12,0.747,106.02,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Khulke Jeene Ka,"A.R. Rahman, Arijit Singh, Shashaa Tirupati",7/28/20,"134,032",4,in,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf,0.676,0.544,-10.893,0.0568,0.566,0,0.341,0.533,88.969,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Shayad,"Pritam, Arijit Singh",7/28/20,"128,169",5,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
