Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Roses - Imanbek Remix,SAINt JHN,4/19/20,"414,257",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/19/20,"320,437",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/19/20,"283,601",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Blinding Lights,The Weeknd,4/20/20,"494,445",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/20/20,"465,156",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/20/20,"427,353",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/20/20,"341,500",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/20/20,"298,148",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Blinding Lights,The Weeknd,4/21/20,"493,706",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/21/20,"452,089",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/21/20,"427,467",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/21/20,"342,216",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/21/20,"294,630",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Blinding Lights,The Weeknd,4/22/20,"498,245",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/22/20,"448,267",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/22/20,"436,808",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/22/20,"344,389",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/22/20,"298,763",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Blinding Lights,The Weeknd,4/23/20,"484,467",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/23/20,"436,829",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/23/20,"428,071",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Blueberry Faygo,Lil Mosey,4/23/20,"336,524",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
death bed (coffee for your head),"Powfu, beabadoobee",4/23/20,"290,047",5,gb,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0,0.696,0.348,144.026,"['emo rap', 'sad rap']"
Blinding Lights,The Weeknd,4/24/20,"527,966",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Roses - Imanbek Remix,SAINt JHN,4/24/20,"467,350",2,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Toosie Slide,Drake,4/24/20,"461,226",3,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/24/20,"411,770",4,gb,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Blueberry Faygo,Lil Mosey,4/24/20,"348,786",5,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,4/25/20,"513,341",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Roses - Imanbek Remix,SAINt JHN,4/25/20,"446,531",2,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Toosie Slide,Drake,4/25/20,"426,960",3,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blueberry Faygo,Lil Mosey,4/25/20,"324,960",4,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/25/20,"314,004",5,gb,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Blinding Lights,The Weeknd,4/26/20,"424,479",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Roses - Imanbek Remix,SAINt JHN,4/26/20,"375,884",2,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Toosie Slide,Drake,4/26/20,"368,133",3,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/26/20,"293,088",4,gb,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Blueberry Faygo,Lil Mosey,4/26/20,"288,132",5,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,4/27/20,"403,692",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/27/20,"374,652",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/27/20,"368,443",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/27/20,"297,083",4,gb,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Blueberry Faygo,Lil Mosey,4/27/20,"293,126",5,gb,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,4/28/20,"375,092",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/28/20,"346,565",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/28/20,"333,744",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
Houdini (feat. Swarmz & Tion Wayne),KSI,4/28/20,"298,889",4,gb,https://open.spotify.com/track/3lay6f81Lhy0qp2Uvp4cNJ,0.572,0.519,-8.054,0.243,0.000415,2.34E-05,0.129,0.704,100.453,['uk hip hop']
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/28/20,"274,400",5,gb,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Blinding Lights,The Weeknd,4/29/20,"386,943",1,gb,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Toosie Slide,Drake,4/29/20,"356,888",2,gb,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Roses - Imanbek Remix,SAINt JHN,4/29/20,"341,186",3,gb,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"['melodic rap', 'rap', 'slap house']"
