Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/25/20,"2,790,873",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Righteous,Juice WRLD,4/25/20,"1,819,145",2,us,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,0.707,0.622,-6.951,0.031,0.0397,0,0.149,0.223,142.942,"['chicago rap', 'melodic rap']"
Toosie Slide,Drake,4/25/20,"1,355,552",3,us,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blinding Lights,The Weeknd,4/25/20,"1,259,924",4,us,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Blueberry Faygo,Lil Mosey,4/25/20,"1,250,853",5,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/26/20,"2,413,562",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Righteous,Juice WRLD,4/26/20,"1,514,092",2,us,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,0.707,0.622,-6.951,0.031,0.0397,0,0.149,0.223,142.942,"['chicago rap', 'melodic rap']"
Toosie Slide,Drake,4/26/20,"1,203,175",3,us,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Blueberry Faygo,Lil Mosey,4/26/20,"1,156,835",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,4/26/20,"1,138,805",5,us,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/27/20,"2,434,566",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Righteous,Juice WRLD,4/27/20,"1,459,016",2,us,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,0.707,0.622,-6.951,0.031,0.0397,0,0.149,0.223,142.942,"['chicago rap', 'melodic rap']"
Toosie Slide,Drake,4/27/20,"1,236,546",3,us,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
